architecture,budget_nominal,budget_actual,n_success,fit_failures,T1_r2,T2_r2,dw_r2,eps_r2
superconducting,1950,1947,100,0,0.7375413456673718,0.844820275462582,0.9637509492726059,0.7532183346723114
superconducting,2000,2001,100,0,0.6526128755866709,0.8664237114714727,0.9678671364854009,0.8025680771222272
superconducting,2050,2052,100,0,0.7208142528673568,0.8829566869679155,0.9716009842224894,0.7552819386673235
superconducting,2100,2100,100,0,0.6956619401211951,0.8641581402537263,0.966813101936459,0.8353511055946676
superconducting,2150,2151,100,0,0.7680209820507038,0.8729914494977792,0.9699182990974731,0.8521062765384073
superconducting,2200,2199,100,0,0.7354594882206651,0.8669805480896825,0.9650548523849795,0.7865862761718582
superconducting,2250,2250,100,0,0.6314476144244856,0.8759745904606169,0.9693822235426124,0.8603235128167689
superconducting,2300,2298,100,0,0.7856706730360554,0.8838773438771922,0.9676078545019018,0.8545883299668176
superconducting,2350,2349,100,0,0.6989966123486465,0.8852367009933544,0.9728535844356596,0.8771089792140687
superconducting,2400,2397,100,0,0.7266451509669684,0.8444854406322224,0.9661669733721534,0.8295995920814682
superconducting,2450,2448,100,0,0.754884370808613,0.9128932229810944,0.9685417644626745,0.8312046877856631
superconducting,2500,2502,100,0,0.7713135792843091,0.8684309228730337,0.9689165709980169,0.8400005810003358
superconducting,2550,2553,100,0,0.7386178802993464,0.8529885719398618,0.9675768689621375,0.8494690075963556
superconducting,2600,2601,100,0,0.7593469306297209,0.9029042416329406,0.9729693267871441,0.8661760782103589
superconducting,2650,2652,100,0,0.8233043014855652,0.9148692458113475,0.9734749609940233,0.8417796224154159
superconducting,2700,2700,100,0,0.7820676871076594,0.9104265299855603,0.9745565286940594,0.8516091622184039
superconducting,2750,2751,100,0,0.8139330963464536,0.8630274818058873,0.974542784488111,0.8275737979824669
superconducting,2800,2799,100,0,0.8245645026436405,0.8954997195681629,0.9823305688251097,0.879945514560652
superconducting,2850,2850,100,0,0.7997329600834256,0.891794946027992,0.9766785185721052,0.8768821391745486
superconducting,2900,2898,100,0,0.7323788340875089,0.8879429699797513,0.9703279063756574,0.8716829588702922
superconducting,2950,2949,100,0,0.7845176046663079,0.8929906809458248,0.976080949992559,0.8574046764181
superconducting,3000,3003,100,0,0.8165316025010628,0.8975668255662873,0.9762016770078519,0.9019511974602178
superconducting,3050,3048,100,0,0.7762538473068066,0.8954943999742064,0.9784177196125771,0.926163620735898
superconducting,3100,3102,100,0,0.8196912658043634,0.8966768245896108,0.9742408674981625,0.894049694006614
superconducting,3150,3147,100,0,0.8788185866351306,0.9108753337745368,0.974447092984188,0.884163932933526
