architecture,noise_class,amplitude,instance_idx,seed,t1,ramsey,echo,gate
neutral_atom,t1_telegraph,0.8,14,77141814,3.5472394279530413,7.183162410685509,10.452304752299108,0.2923758753221474
neutral_atom,t1_telegraph,0.8,15,77141815,3.2965194123119077,5.168705312454759,8.769162424476582,0.5934566831307841
neutral_atom,t1_telegraph,0.8,16,77141816,0.4890780814967786,3.387265473366478,0.24722368202708525,3.9110068569908067
neutral_atom,t1_telegraph,0.8,17,77141817,0.023113656177395296,0.2965536725202773,2.6786949525939,0.4923174356016057
neutral_atom,t1_telegraph,0.8,18,77141818,1.4178938347311436,3.623586912301495,0.10448371436568216,0.4407005494441747
neutral_atom,t1_telegraph,0.8,19,77141819,3.279868289562771,2.69814982071141,0.08206475703174677,0.073374865409692
neutral_atom,quasistatic_dephasing,0.0,0,78541000,1.168237842599062,1.769697041442095,1.8336823599218233,0.08374836996288439
neutral_atom,quasistatic_dephasing,0.0,1,78541001,1.1095198003880165,5.864665527606216,0.35610803202412217,0.4124331790221179
neutral_atom,quasistatic_dephasing,0.0,2,78541002,7.1211210944886005,0.4535723465272545,2.473882104985522,0.5796004067193264
neutral_atom,quasistatic_dephasing,0.0,3,78541003,0.503771019910259,1.198843253848187,0.4918539788475449,0.14983468387745547
neutral_atom,quasistatic_dephasing,0.0,4,78541004,4.33859307950775,1.7986729331283957,1.228576695026802,2.935548412871116
neutral_atom,quasistatic_dephasing,0.0,5,78541005,0.8701754665942665,1.5596234123057333,2.7077903840377355,0.4384979620195232
neutral_atom,quasistatic_dephasing,0.0,6,78541006,6.0802083239389395,1.818784637719031,1.1671360349118527,0.7088739774934392
neutral_atom,quasistatic_dephasing,0.0,7,78541007,3.3191641485953562,4.969396598712633,0.25969736774963903,2.355828855696282
neutral_atom,quasistatic_dephasing,0.0,8,78541008,1.173320661987988,3.093691734064138,2.904695387103574,0.3470902666658858
neutral_atom,quasistatic_dephasing,0.0,9,78541009,0.9221534485659902,2.695732742056152,0.7789006321839675,2.6178566189498538
neutral_atom,quasistatic_dephasing,0.0,10,78541010,0.2326084071044362,0.2750038204402946,2.6809715998386956,3.8292723908500923
neutral_atom,quasistatic_dephasing,0.0,11,78541011,6.073664594488144,2.2542550053170265,1.119737148993939,1.1952265966192965
neutral_atom,quasistatic_dephasing,0.0,12,78541012,33.75145649485437,15.45696133679219,6.090506081431428,1.5082834332654862
neutral_atom,quasistatic_dephasing,0.0,13,78541013,0.6714307275526894,6.519837520149148,0.5916624564016315,0.3518765666409538
neutral_atom,quasistatic_dephasing,0.0,14,78541014,1.860121516719083,2.8836314109426615,1.4041471340124294,0.43640137481991337
neutral_atom,quasistatic_dephasing,0.0,15,78541015,0.29763185383854635,0.10774867211099368,1.146294474111451,0.1345228769616853
neutral_atom,quasistatic_dephasing,0.0,16,78541016,0.8562410120698568,2.452751831038004,0.2827598191574189,1.4397534494131947
neutral_atom,quasistatic_dephasing,0.0,17,78541017,0.8055022168239294,0.3084503926797604,0.4018850084465664,0.10733938811941314
neutral_atom,quasistatic_dephasing,0.0,18,78541018,1.6301022168486388,5.812533165424879,0.2335085372523165,0.436978718725622
neutral_atom,quasistatic_dephasing,0.0,19,78541019,1.4566567775155266,1.463380348223912,0.1275251261452077,0.7214199704806104
neutral_atom,quasistatic_dephasing,0.05,0,78541100,0.41714178286247783,2.222736483886766,1.8948546107370765,0.10258595992358825
neutral_atom,quasistatic_dephasing,0.05,1,78541101,1.8404939464316623,1.2906874443128955,0.8003772235452808,0.8497574186302301
neutral_atom,quasistatic_dephasing,0.05,2,78541102,0.5134257333437606,0.48778544808181784,2.0836982958011885,0.701976399253333
neutral_atom,quasistatic_dephasing,0.05,3,78541103,4.540031821309967,0.7726950403170676,1.7521358441246304,0.9519789958597737
