architecture,noise_class,amplitude,probe,mean_chi2_dof,ci_lo,ci_hi,n
trapped_ion,t1_telegraph,0.2,t1,7.743876017266463,4.013548340696399,12.357431323705624,20
trapped_ion,t1_telegraph,0.2,ramsey,2.347150262142261,1.342332445578429,3.75129051516593,20
trapped_ion,t1_telegraph,0.2,echo,0.9558770608568782,0.5701218118528502,1.471376236632882,20
trapped_ion,t1_telegraph,0.2,gate,0.8001894957533832,0.5433458682786437,1.0979352558119104,20
trapped_ion,t1_telegraph,0.3,t1,1.9106859243479708,1.0572894886182351,2.936425178273489,20
trapped_ion,t1_telegraph,0.3,ramsey,3.4571298647644078,1.6933901911516116,5.709397631828496,20
trapped_ion,t1_telegraph,0.3,echo,1.2679470167435665,0.8720623457464214,1.7238647017422513,20
trapped_ion,t1_telegraph,0.3,gate,0.9808005922307949,0.7011094209758986,1.2832591225643917,20
trapped_ion,t1_telegraph,0.4,t1,2.099297720536728,0.9396568536390753,3.662924204694092,20
trapped_ion,t1_telegraph,0.4,ramsey,5.198740104807012,1.6672183149579425,10.023409164468342,20
trapped_ion,t1_telegraph,0.4,echo,0.9901747543306435,0.5477959918272219,1.6042695217204637,20
trapped_ion,t1_telegraph,0.4,gate,0.8728475026034876,0.42900714600207307,1.5001398011331848,20
trapped_ion,t1_telegraph,0.55,t1,4.063899919380149,1.6110780660138921,7.022267478677955,20
trapped_ion,t1_telegraph,0.55,ramsey,3.861586704207479,1.606157666882928,6.569371420635847,20
trapped_ion,t1_telegraph,0.55,echo,0.9546485803900048,0.6358174723583739,1.337997104993107,20
trapped_ion,t1_telegraph,0.55,gate,1.0959424111520106,0.6852551287674797,1.5581179605859203,20
trapped_ion,t1_telegraph,0.7,t1,3.890424624933074,0.888011730811051,7.709869872001876,20
trapped_ion,t1_telegraph,0.7,ramsey,5.25670200315362,2.8380114042885545,8.3013034680282,20
trapped_ion,t1_telegraph,0.7,echo,1.0966684853815862,0.7285641220296178,1.610545894077478,20
trapped_ion,t1_telegraph,0.7,gate,0.8439879805481739,0.5136745379213703,1.2771724639102076,20
trapped_ion,t1_telegraph,0.8,t1,7.899494043469254,1.8802404458255106,18.183032787587887,20
trapped_ion,t1_telegraph,0.8,ramsey,4.287242074237081,1.5939779048759513,8.11371892087212,20
trapped_ion,t1_telegraph,0.8,echo,1.0415084110732482,0.746287243467432,1.4095366117093084,20
trapped_ion,t1_telegraph,0.8,gate,0.6219540417870519,0.42012750041530605,0.8510195134742929,20
trapped_ion,quasistatic_dephasing,0.0,t1,3.610562169465213,1.5670140094491758,5.875343678967378,20
trapped_ion,quasistatic_dephasing,0.0,ramsey,3.2701711265445583,1.340776392821851,6.036712765246785,20
trapped_ion,quasistatic_dephasing,0.0,echo,1.052329516161866,0.650267617600099,1.4824150692055167,20
trapped_ion,quasistatic_dephasing,0.0,gate,1.4572125565650538,0.9552046550720372,2.0375672246208034,20
trapped_ion,quasistatic_dephasing,0.05,t1,4.3975245552134785,1.6523665226071544,7.735859001743026,20
trapped_ion,quasistatic_dephasing,0.05,ramsey,3.33475752605118,1.7885083738368777,5.016037027010947,20
trapped_ion,quasistatic_dephasing,0.05,echo,1.3422031133280838,0.9544938205961788,1.7710967550983583,20
trapped_ion,quasistatic_dephasing,0.05,gate,0.9512262291651143,0.6535203455371675,1.28269699877515,20
trapped_ion,quasistatic_dephasing,0.1,t1,3.759402293441864,2.03189956674016,5.876303467544323,20
trapped_ion,quasistatic_dephasing,0.1,ramsey,3.169461388656071,1.755296843844031,4.925980151874246,20
trapped_ion,quasistatic_dephasing,0.1,echo,0.8562202017689481,0.5895648334984726,1.1791079061458993,20
trapped_ion,quasistatic_dephasing,0.1,gate,1.2683625316542886,0.8492135813056176,1.75170853221437,20
trapped_ion,quasistatic_dephasing,0.2,t1,3.786258818808707,1.6213817653306515,6.490249696883347,20
trapped_ion,quasistatic_dephasing,0.2,ramsey,3.5112282523125087,1.7107486440125181,6.255663672399598,20
trapped_ion,quasistatic_dephasing,0.2,echo,1.158535809456224,0.7386382128400325,1.605794677947345,20
trapped_ion,quasistatic_dephasing,0.2,gate,0.9723633662948739,0.5516695701795157,1.5076059699457842,20
trapped_ion,quasistatic_dephasing,0.35,t1,2.917692670094942,1.4810851430054777,4.452400403175154,20
trapped_ion,quasistatic_dephasing,0.35,ramsey,4.15188942120402,2.2755111880007193,6.23053476910821,20
trapped_ion,quasistatic_dephasing,0.35,echo,0.8720851357457032,0.5439279366317329,1.3214906090562752,20
trapped_ion,quasistatic_dephasing,0.35,gate,0.8694674194475855,0.5406210955451104,1.241671816721238,20
trapped_ion,quasistatic_dephasing,0.5,t1,4.699679993207694,1.6691906264900995,8.858609669879744,20
trapped_ion,quasistatic_dephasing,0.5,ramsey,2.754747221798114,1.6599164340891701,4.03539613047995,20
